2026-03-26 15:35:50.582 |Service= |INFO | o.s.d.r.c.RepositoryConfigurationExtensionSupport:327 | ReqId=| Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.web_monitor.repository.RegUsersRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-03-26 15:35:50.582 |Service= |INFO | o.s.d.r.c.RepositoryConfigurationExtensionSupport:327 | ReqId=| Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.web_monitor.repository.RoleRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-03-26 15:35:50.583 |Service= |INFO | o.s.d.r.c.RepositoryConfigurationExtensionSupport:327 | ReqId=| Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.web_monitor.repository.RptLogRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-03-26 15:35:50.583 |Service= |INFO | o.s.d.r.c.RepositoryConfigurationExtensionSupport:327 | ReqId=| Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.web_monitor.repository.SentMsgRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-03-26 15:35:50.583 |Service= |INFO | o.s.d.r.c.RepositoryConfigurationExtensionSupport:327 | ReqId=| Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.web_monitor.repository.SignalRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-03-26 15:35:50.583 |Service= |INFO | o.s.d.r.c.RepositoryConfigurationExtensionSupport:327 | ReqId=| Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.web_monitor.repository.StaticDataRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-03-26 15:35:50.583 |Service= |INFO | o.s.d.r.c.RepositoryConfigurationExtensionSupport:327 | ReqId=| Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.web_monitor.repository.SystemAlertHistoryRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-03-26 15:35:50.585 |Service= |INFO | o.s.d.r.c.RepositoryConfigurationExtensionSupport:327 | ReqId=| Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.web_monitor.repository.TxMsgLogDetailHistRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-03-26 15:35:50.585 |Service= |INFO | o.s.d.r.c.RepositoryConfigurationExtensionSupport:327 | ReqId=| Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.web_monitor.repository.TxMsgLogDetailRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-03-26 15:35:50.588 |Service= |INFO | o.s.d.r.c.RepositoryConfigurationExtensionSupport:327 | ReqId=| Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.web_monitor.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-03-26 15:35:50.588 |Service= |INFO | o.s.d.r.c.RepositoryConfigurationDelegate:213 | ReqId=| Finished Spring Data repository scanning in 21 ms. Found 0 Redis repository interfaces.
2026-03-26 15:35:51.517 |Service= |INFO | o.s.b.w.e.tomcat.TomcatWebServer:111 | ReqId=| Tomcat initialized with port 20251 (http)
